BlkNumber;BlkRoute;BlkVehType;VehTaskNumber;BlkStartPlace;BlkEndPlace;BlkStartTime;BlkEndTime;BlkStartPrepDur;BlkEndPrepDur;BlkInSrvDur;BlkOutSrvDur;BlkTotalDur;BlkDistance
8 -  1;T3;;8;CDMHAN;CDMHAN;06:07:00;23:59:22;0:10:00;0:00:00;13:54:34;3:57:48;17:52:22;265.478
1 -  1;T3;;1;CDMHAN;CDMHAN;04:38:00;09:26:54;0:10:00;0:00:00;3:17:25;1:31:29;4:48:54;73.536
2 -  1;T3;;2;CDMHAN;CDMHAN;04:51:00;23:02:54;0:10:00;0:00:00;14:03:07;4:08:47;18:11:54;266.040
3 -  1;T3;;3;CDMHAN;CDMHAN;04:56:00;19:50:54;0:10:00;0:00:00;11:42:14;3:12:40;14:54:54;220.231
4 -  1;T3;;4;CDMHAN;CDMHAN;05:04:00;22:38:54;0:10:00;0:00:00;13:58:52;3:36:02;17:34:54;257.059
5 -  1;T3;;5;CDMHAN;CDMHAN;05:17:00;09:02:54;0:10:00;0:00:00;2:59:36;0:46:18;3:45:54;55.880
10 -  2;T3;;10;CDMHAN;CDMHAN;15:19:00;23:21:22;0:10:00;0:00:00;5:49:56;2:12:26;8:02:22;119.290
6 -  1;T3;;6;CDMHAN;CDMHAN;05:32:00;20:14:54;0:10:00;0:00:00;11:39:52;3:03:02;14:42:54;211.556
7 -  1;T3;;7;CDMHAN;CDMHAN;05:47:00;23:28:22;0:10:00;0:00:00;13:27:29;4:13:53;17:41:22;256.552
9 -  2;T3;;9;CDMHAN;CDMHAN;15:03:00;23:17:54;0:10:00;0:00:00;6:34:50;1:40:04;8:14:54;120.048
9 -  1;T3;;9;CDMHAN;CDMHAN;06:23:00;08:14:54;0:10:00;0:00:00;1:29:48;0:22:06;1:51:54;28.540
1 -  2;T3;;1;CDMHAN;CDMHAN;16:07:00;19:26:54;0:10:00;0:00:00;2:32:31;0:47:23;3:19:54;46.954
10 -  1;T3;;10;CDMHAN;CDMHAN;06:47:00;08:38:54;0:10:00;0:00:00;1:29:48;0:22:06;1:51:54;28.540
5 -  2;T3;;5;CDMHAN;CDMHAN;15:51:00;19:10:54;0:10:00;0:00:00;2:32:31;0:47:23;3:19:54;46.954
11 -  1;T3;;11;CDMHAN;CDMHAN;06:55:00;22:50:54;0:10:00;0:00:00;12:42:35;3:13:19;15:55:54;229.970
12 -  1;T3;;12;CDMHAN;CDMHAN;07:27:00;23:43:22;0:10:00;0:00:00;12:24:46;3:51:36;16:16:22;238.138
